2017 International Subject Based Fees Fees, EFTSL values and Census Dates
ABPL90077 1 Transportation, Land Use and Urban Form Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90078 1 Contemporary Landscape Theory Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90086 2 Environmental Systems Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90089 1 Australian Architecture (PG) Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90090 2 Public Transport Network Planning Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90107 1 Landscape Studio 1: Design Techniques Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90111 7 Urban Eco Acupuncture Studio Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90115 1 Master of Architecture Studio E Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90115 1 Master of Architecture Studio E Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90115 1 Master of Architecture Studio E Summer Term Summer Term Parkville 0.25 14‐Jan‐17 $9,496.00
ABPL90117 1 Twenty‐first Century Architecture Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90118 2 Applied Architectural Technology Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90120 2 Building Sustainability September September Parkville 0.125 25‐Sep‐17 $4,748.00
ABPL90123 1 Digital Design Applications Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90124 1 The Architecture of Wishful Thinking Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90129 1 Advanced Cost Management Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90130 1 Planning Law & Statutory Planning Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90131 2 Strategic Plan Making Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90132 1 Land Use and Urban Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90134 2 Planning Theory and History Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90135 1 Analytical Methods Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90140 3 Architectural Practice Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90142 1 Master of Architecture Studio C Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90142 1 Master of Architecture Studio C Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90142 1 Master of Architecture Studio C Summer Term Summer Term Parkville 0.25 13‐Jan‐17 $9,496.00
ABPL90143 1 Master of Architecture Studio D Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90143 1 Master of Architecture Studio D Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90143 1 Master of Architecture Studio D Summer Term Summer Term Parkville 0.25 14‐Jan‐17 $9,496.00
ABPL90146 1 Architectural Conservation in East Asia Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90149 1 Contemporary Digital Practice Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90151 1 Popular Architecture and Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90153 1 Complex Building Energy Modelling June June Parkville 0.125 23‐Jun‐17 $4,748.00
ABPL90167 1 Design Communications Workshop (P/G) Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90169 2 Design Thesis Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90169 2 Design Thesis Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90170 2 Landscape Studio 4 Strategies Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90172 2 Landscape Studio 3 Speculations Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,496.00
ABPL90173 1 Advanced Planting Design Winter Term Winter Term Parkville 0.125 7‐Jul‐17 $4,748.00
ABPL90176 1 Landscape Studio 2: Site and Design Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,496.00
ABPL90183 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $37,984.00
ABPL90183 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $37,984.00
ABPL90208 1 Construction Measurement and Estimating Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90217 3 MSD Minor Thesis Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90236 1 Design Approaches and Methods (PG) Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90241 1 Representing and Remembering Place (PG) Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90246 2 The Economies of Cities and Regions Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90261 4 Travelling Studio (Ahmedabad) January January Parkville 0.25 10‐Feb‐17 $9,496.00
ABPL90263 1 Constructed Ecologies Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
ABPL90265 1 History of Landscape Architecture Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,748.00
ABPL90266 2 Inclusive Cities Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,748.00
