2017 International Subject Based Fees Fees, EFTSL values and Census Dates
MAST10011 1 Experimental Design and Data Analysis Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST10012 1 Introduction to Mathematics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST10012 1 Introduction to Mathematics Summer Term Summer Term (Online) Parkville 0.125 13‐Jan‐17 $4,680.00
MAST10014 4 Foundation Mathematics 1 Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST10015 4 Foundation Mathematics 2 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST10016 1 Mathematics for Biomedicine Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST10016 1 Mathematics for Biomedicine Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST10017 2 Fundamentals of Mathematics Semester 2 Semester 2 Dookie 0.125 31‐Aug‐17 $4,680.00
MAST20004 1 Probability Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST20005 1 Statistics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST20006 1 Probability for Statistics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST20009 1 Vector Calculus Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST20009 1 Vector Calculus Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST20018 1 Discrete Maths and Operations Research Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST20022 1 Group Theory and Linear Algebra Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST20026 2 Real Analysis Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST20026 2 Real Analysis Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST20029 1 Engineering Mathematics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST20029 1 Engineering Mathematics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST20029 1 Engineering Mathematics Summer Term Summer Term Parkville 0.125 13‐Jan‐17 $4,680.00
MAST20030 1 Differential Equations Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST20031 1 Analysis of Biological Data Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST30001 1 Stochastic Modelling Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30005 1 Algebra Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST30011 1 Graph Theory Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST30012 1 Discrete Mathematics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30013 1 Techniques in Operations Research Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST30020 2 Probability for Inference Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST30021 1 Complex Analysis Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST30021 1 Complex Analysis Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30022 1 Decision Making Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30024 1 Geometry Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30025 1 Linear Statistical Models Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST30026 1 Metric and Hilbert Spaces Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30027 1 Modern Applied Statistics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30028 2 Numerical Methods & Scientific Computing Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30030 1 Applied Mathematical Modelling Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,680.00
MAST30031 1 Methods of Mathematical Physics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,680.00
MAST30032 1 Biological Modelling and Simulation Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
MAST30033 1 Statistical Genomics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,960.00
MAST70001 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
MAST70001 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
MAST80001 1 PhD Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
MAST80001 1 PhD Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
MAST90005 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $35,296.00
MAST90005 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $35,296.00
MAST90007 1 Statistics for Research Workers Winter Term Winter Term Parkville 0.125 7‐Jul‐17 $4,412.00
MAST90012 1 Measure Theory Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90013 1 Network Optimisation Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90014 1 Optimisation for Industry Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90017 1 Representation Theory Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90019 2 Random Processes Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90029 2 Differential Topology and Geometry Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90030 1 Advanced Discrete Mathematics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90031 1 Enumerative Combinatorics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90042 1 Research Project Semester 1 Semester 1 Parkville 0.5 31‐Mar‐17 $17,648.00
MAST90042 1 Research Project Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $17,648.00
MAST90044 1 Thinking and Reasoning with Data Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90045 1 Systems Modelling and Simulation Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90046 1 Research Project Semester 1 Semester 1 Parkville 0.375 31‐Mar‐17 $13,236.00
MAST90046 1 Research Project Semester 2 Semester 2 Parkville 0.375 31‐Aug‐17 $13,236.00
MAST90047 1 Research Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $8,824.00
MAST90047 1 Research Project Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $8,824.00
MAST90048 1 Research Project Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90048 1 Research Project Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90056 2 Riemann Surfaces and Complex Analysis Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90057 1 Elements of Probability Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90058 1 Elements of Statistics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90059 1 Stochastic Calculus with Applications Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90060 1 Mathematical Statistical Mechanics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90064 1 Advanced Methods: Differential Equations Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90065 1 Exactly Solvable Models Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90072 1 Data and Decision Making Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90073 1 Minor Research Project Part A Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90073 1 Minor Research Project Part A Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90074 1 Minor Research Project Part B Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90074 1 Minor Research Project Part B Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90075 1 Research Project Part A Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90075 1 Research Project Part A Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90076 1 Research Project Part B Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90076 1 Research Project Part B Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90077 1 Research Project Part C Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $8,824.00
MAST90077 1 Research Project Part C Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $8,824.00
MAST90078 1 Quantitative Methods for Evaluation Term 2 Term 2 (Online) Parkville 0.125 28‐Apr‐17 $4,412.00
MAST90079 1 AMSI Summer School Summer Term Summer Term Parkville 0.125 13‐Jan‐17 $4,412.00
MAST90081 1 Advanced Probability Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90082 1 Mathematical Statistics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90083 1 Computational Statistics and Data Mining Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90084 1 Statistical Modelling Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90085 1 Multivariate Statistical Techniques Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90099 1 Categorical Data: Models and Methods Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90100 1 Inference Methods in Biostatistics March March Parkville 0.125 21‐Apr‐17 $4,412.00
MAST90101 1 Introduction to Statistical Computing Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90102 1 Linear Regression Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90104 1 A First Course In Statistical Learning Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $8,824.00
MAST90105 1 Methods of Mathematical Statistics Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $8,824.00
MAST90106 1 Data Science Project Pt1 Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90106 1 Data Science Project Pt1 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90107 1 Data Science Project Pt2 Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90107 1 Data Science Project Pt2 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90108 1 Data Science Research Project Pt1 Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90108 1 Data Science Research Project Pt1 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90109 1 Data Science Research Project Pt2 Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,412.00
MAST90109 1 Data Science Research Project Pt2 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90110 1 Analysis of High‐Dimensional Data Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90113 1 Continuum Mechanics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,412.00
MAST90114 1 Minor Research Project Part 1 February February (Commencing) Parkville 0.125 24‐Mar‐17 $4,412.00
MAST90114 1 Minor Research Project Part 1 July July (Commencing) Parkville 0.125 25‐Aug‐17 $4,412.00
MAST90115 1 Minor Research Project Part 2 January January (Completing) Parkville 0.125 3‐Feb‐17 $4,412.00
MAST90115 1 Minor Research Project Part 2 July July (Completing) Parkville 0.125 28‐Jul‐17 $4,412.00
MAST90116 1 Research Project Part 1 February February (Commencing) Parkville 0.125 24‐Mar‐17 $4,412.00
MAST90116 1 Research Project Part 1 July July (Commencing) Parkville 0.125 25‐Aug‐17 $4,412.00
MAST90117 1 Research Project Part 2 January January (Continuing) Parkville 0.125 10‐Feb‐17 $4,412.00
MAST90117 1 Research Project Part 2 July July (Continuing) Parkville 0.125 11‐Aug‐17 $4,412.00
MAST90118 1 Research Project Part 3 January January (Completing) Parkville 0.25 3‐Feb‐17 $8,824.00
MAST90118 1 Research Project Part 3 July July (Completing) Parkville 0.25 28‐Jul‐17 $8,824.00
MAST90119 1 Research Project Part 1 February February (Commencing) Parkville 0.25 24‐Mar‐17 $8,824.00
MAST90119 1 Research Project Part 1 July July (Commencing) Parkville 0.25 25‐Aug‐17 $8,824.00
MAST90120 1 Research Project Part 2 January January (Continuing) Parkville 0.25 19‐May‐17 $8,824.00
MAST90120 1 Research Project Part 2 July July (Continuing) Parkville 0.25 11‐Aug‐17 $8,824.00
MCEN30014 1 Mechanical Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN30017 1 Mechanics & Materials Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN30018 1 Thermodynamics and Fluid Mechanics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN30018 1 Thermodynamics and Fluid Mechanics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN30019 1 Mechatronic Systems Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN30020 1 Systems Modelling and Analysis Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN70001 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $38,976.00
MCEN70001 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $38,976.00
MCEN80001 1 PhD Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $38,976.00
MCEN80001 1 PhD Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $38,976.00
MCEN90007 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $38,976.00
MCEN90007 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $38,976.00
MCEN90008 1 Fluid Dynamics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90012 2 Design for Manufacture Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90013 2 Design for Integration Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90014 1 Materials Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90015 1 Thermodynamics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90017 1 Advanced Motion Control Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90018 1 Advanced Fluid Dynamics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90019 1 Advanced Thermodynamics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90020 1 Advanced Materials Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90022 2 Capstone Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,744.00
MCEN90022 2 Capstone Project Year Long Year Long Parkville 0.25 31‐May‐17 $9,744.00
MCEN90023 1 Quality and Reliability Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90026 1 Solid Mechanics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90028 2 Robotics and Automation Systems Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90029 1 Advanced Solid Mechanics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90031 1 Applied High Performance Computing Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90032 1 Sensor Systems Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90035 1 Capstone Project B Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90035 1 Capstone Project B Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90036 1 Capstone Project A Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,744.00
MCEN90036 1 Capstone Project A Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,744.00
MCEN90038 1 Dynamics Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90040 1 Mechatronics Capstone Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,744.00
MCEN90040 1 Mechatronics Capstone Project Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $9,744.00
MCEN90040 1 Mechatronics Capstone Project Year Long Year Long Parkville 0.25 31‐May‐17 $9,744.00
MCEN90041 1 Advanced Dynamics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90042 1 Capstone Proj Part 1 Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90042 1 Capstone Proj Part 1 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MCEN90043 1 Capstone Proj Part 2 Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,872.00
MCEN90043 1 Capstone Proj Part 2 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,872.00
MECM10003 1 Media and Society Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM10005 2 Academic Writing and Communication Semester 1 Semester 1 Dookie 0.125 31‐Mar‐17 $4,896.00
MECM10005 2 Academic Writing and Communication Semester 2 Semester 2 Dookie 0.125 31‐Aug‐17 $4,896.00
MECM10006 1 Introduction to Media Writing Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,348.00
MECM20003 2 Internet Communication Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,348.00
MECM20006 1 Understanding Australian Media Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM20010 1 Comparing Media Systems Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM20011 1 Approaches to Media Research Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,348.00
MECM20012 3 Analysing Professional Communication Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,668.00
MECM30002 2 Perspectives in Global Media Cultures Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,348.00
MECM30004 1 Media Futures and New Technologies Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,348.00
MECM30010 1 Writing Journalism Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM30013 1 Marketing Communications Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,348.00
MECM30015 1 Media and Communications Project Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM30016 1 Digital Media Research Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM40003 1 Researching Audiences and Reception Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM40006 2 Public Relations and Communications Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM40006 2 Public Relations and Communications Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,348.00
MECM40007 2 Change in Journalism Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,348.00
MECM40011 1 Writing for the Media Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,348.00
MECM40017 1 Media & Communications Thesis Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $6,696.00
MECM40018 1 Media & Communications Thesis Part 1 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $6,696.00
MECM40018 1 Media & Communications Thesis Part 1 Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $6,696.00
MECM40019 1 Media & Communications Thesis Part 2 Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $6,696.00
MECM50001 2 Political Economy of the Network Society Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,800.00
MECM70001 1 Shorter Thesis ‐ Media & Communications RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $30,400.00
MECM70001 1 Shorter Thesis ‐ Media & Communications RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $30,400.00
MECM70002 1 Major Thesis ‐ Media and Communications RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $30,400.00
MECM70002 1 Major Thesis ‐ Media and Communications RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $30,400.00
MECM90002 2 Global Media Policy & Governance Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,800.00
MECM90003 1 Mobility, Culture and Communication Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,800.00
MECM90007 1 Media Convergence and Digital Culture Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,800.00
MECM90009 1 Global Crisis Reporting Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,800.00
MECM90010 1 Strategic Political Communication July July Parkville 0.125 4‐Aug‐17 $3,800.00
MECM90012 1 Media and Communications Thesis Semester 1 Semester 1 Parkville 0.1875 31‐Mar‐17 $5,700.00
MECM90012 1 Media and Communications Thesis Semester 2 Semester 2 Parkville 0.1875 31‐Aug‐17 $5,700.00
MECM90015 3 Approaches to Computational Media June June Parkville 0.125 14‐Jul‐17 $3,800.00
MECM90016 1 Representation and Advocacy Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,800.00
MECM90017 1 Media Writing: Rhetoric and Practice Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,800.00
MECM90019 2 Social Media and Change July July Parkville 0.125 28‐Jul‐17 $3,972.00
MECM90020 1 Global Media: Theory and Research Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,972.00
MECM90024 1 Writing for Marketing Communication Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,972.00
MECM90025 1 Advanced Practice 2 Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,972.00
MECM90026 1 Advanced Practice 1 Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $5,052.00
MECM90028 1 Digital Methods June June Parkville 0.0625 9‐Jun‐17 $1,986.00
MECM90029 1 Media and Communications Thesis Part 1 Semester 1 Semester 1 Parkville 0.1875 31‐Mar‐17 $5,700.00
MECM90029 1 Media and Communications Thesis Part 1 Semester 2 Semester 2 Parkville 0.1875 31‐Aug‐17 $5,700.00
MECM90030 1 Media and Communications Thesis Part 2 Semester 1 Semester 1 Parkville 0.1875 31‐Mar‐17 $5,700.00
MECM90030 1 Media and Communications Thesis Part 2 Semester 2 Semester 2 Parkville 0.1875 31‐Aug‐17 $5,700.00
MECM90031 1 Audiovisual Communication Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,800.00
MECM90031 1 Audiovisual Communication Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,800.00
MECM90031 1 Audiovisual Communication Winter Term Winter Term Parkville 0.125 7‐Jul‐17 $3,800.00
MECM90032 1 Marketing Communications Thesis Part 1 Semester 1 Semester 1 Parkville 0.1875 31‐Mar‐17 $5,958.00
MECM90032 1 Marketing Communications Thesis Part 1 Semester 2 Semester 2 Parkville 0.1875 31‐Aug‐17 $5,958.00
MECM90033 1 Marketing Communications Thesis Part 2 Semester 1 Semester 1 Parkville 0.1875 31‐Mar‐17 $5,958.00
MECM90033 1 Marketing Communications Thesis Part 2 Semester 2 Semester 2 Parkville 0.1875 31‐Aug‐17 $5,958.00
MECM90034 1 Marketing & Media in a Global Context Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $3,800.00
MECM90035 1 Integrated Marketing Communications Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $3,800.00
MECM90036 1 Foundations of Marketing & Communication Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $7,600.00
MECM90036 1 Foundations of Marketing & Communication Semester 2 Semester 2 Parkville 0.25 31‐Aug‐17 $7,600.00
MEDI40002 2 Advanced Studies in Biomedicine Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
MEDI40003 2 Research Project Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
MEDI40004 2 Seminars in Translational Medicine Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
MEDI40005 3 Research Project ‐ SVHM Part 1 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
MEDI40006 2 Biomedical Advanced Coursework Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,960.00
MEDI40012 1 Research Project Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
MEDI40013 2 Research Project ‐ SVHM Part 2 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
MEDI40014 2 Biomedicine Research Project Part 1 Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,920.00
MEDI40015 2 Biomedicine Research Project Part 2 Semester 2 Semester 2 Parkville 0.5 31‐Aug‐17 $19,840.00
MEDI70001 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70001 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70002 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70002 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70003 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70003 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70005 1 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70005 1 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70006 2 MRes Thesis RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70006 2 MRes Thesis RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70010 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70010 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70011 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70011 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70012 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70012 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70013 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
MEDI70013 1 MPhil Research RHD Second Half Year RHD Second Half Year Parkville 1 31‐Dec‐17 $59,648.00
MEDI70014 1 MPhil Research RHD First Half Year RHD First Half Year Parkville 1 30‐Jun‐17 $59,648.00
